shape_order,sess_type,final_pos_orig,final_pos
curv_flat,C,0.28,0.28
flat_curv,C,-0.303,0.303
flat_curv,C,-0.285,0.285
curv_flat,C,0.112,0.112
curv_flat,C,0.322,0.322
curv_flat,C,0.303,0.303
flat_curv,C,-0.078,0.078
flat_curv,B,-0.188,0.188
curv_flat,B,-0.072,-0.072
flat_curv,B,-0.244,0.244
flat_curv,B,0.024,-0.024
curv_flat,B,0.132,0.132
curv_flat,B,0.112,0.112
curv_flat,B,-0.092,-0.092
flat_curv,B,0.056,-0.056
curv_flat,B,0.088,0.088
curv_flat,B,0.084,0.084
flat_curv,B,-0.216,0.216
flat_curv,B,0.016,-0.016
curv_flat,B,-0.036,-0.036
flat_curv,B,-0.06,0.06
flat_curv,B,0.096,-0.096
flat_curv,B,0.072,-0.072
curv_flat,B,0.052,0.052
curv_flat,B,0.052,0.052
curv_flat,B,-0.196,-0.196
curv_flat,B,-0.068,-0.068
curv_flat,B,-0.12,-0.12
flat_curv,B,-0.044,0.044
flat_curv,B,-0.08,0.08
curv_flat,B,0.016,0.016
curv_flat,B,-0.072,-0.072
flat_curv,B,-0.108,0.108
curv_flat,B,-0.084,-0.084
curv_flat,B,-0.132,-0.132
flat_curv,B,0.116,-0.116
flat_curv,B,-0.064,0.064
flat_curv,B,-0.1,0.1
flat_curv,B,0.028,-0.028
curv_flat,B,0.056,0.056
curv_flat,B,0.056,0.056
curv_flat,B,-0.068,-0.068
curv_flat,B,0.1,0.1
flat_curv,B,0.056,-0.056
flat_curv,B,0.14,-0.14
flat_curv,B,0.268,-0.268
flat_curv,B,-0.26,0.26
flat_curv,B,-0.2,0.2
curv_flat,B,-0.28,-0.28
flat_curv,B,0.224,-0.224
flat_curv,B,0.276,-0.276
curv_flat,B,-0.312,-0.312
curv_flat,B,-0.324,-0.324
curv_flat,B,-0.268,-0.268
flat_curv,B,-0.028,0.028
flat_curv,B,0.216,-0.216
curv_flat,B,0.0,0.0
flat_curv,B,-0.076,0.076
curv_flat,B,-0.3,-0.3
flat_curv,B,-0.032,0.032
flat_curv,B,0.232,-0.232
curv_flat,B,-0.032,-0.032
curv_flat,B,-0.288,-0.288
flat_curv,B,0.288,-0.288
curv_flat,B,-0.264,-0.264
curv_flat,B,0.168,0.168
curv_flat,B,0.104,0.104
flat_curv,B,-0.184,0.184
curv_flat,B,-0.056,-0.056
flat_curv,B,0.272,-0.272
curv_flat,B,-0.284,-0.284
flat_curv,B,-0.136,0.136
curv_flat,B,-0.324,-0.324
curv_flat,B,-0.084,-0.084
flat_curv,B,-0.216,0.216
curv_flat,B,-0.292,-0.292
curv_flat,B,-0.116,-0.116
