boundary,boundary_label,stim,stim_idx,unique_stim_idx,class,resp,class_pred,net_idx,stim_aligned,resp_aligned,stim_rank
0.75,b=0.75,0.4285714328289032,3,3,0.0,0.61334175,0.0,1,-0.3214285671710968,-0.13665825128555298,4.0
0.75,b=0.75,0.4761904776096344,4,4,0.0,0.6363207,0.0,1,-0.2738095223903656,-0.11367928981781006,5.0
0.75,b=0.75,0.523809552192688,5,5,0.0,0.658694,0.0,1,-0.226190447807312,-0.09130597114562988,6.0
0.75,b=0.75,0.5714285969734192,6,6,0.0,0.6803822,0.0,1,-0.1785714030265808,-0.06961780786514282,7.0
0.75,b=0.75,0.6190476417541504,7,7,0.0,0.70131713,0.0,1,-0.1309523582458496,-0.04868286848068237,8.0
0.75,b=0.75,0.6666666865348816,8,8,0.0,0.72144234,0.0,1,-0.08333331346511841,-0.028557658195495605,9.0
0.75,b=0.75,0.7142857313156128,9,9,0.0,0.74071276,0.0,1,-0.03571426868438721,-0.009287238121032715,10.0
0.75,b=0.75,0.761904776096344,10,10,1.0,0.75909525,1.0,1,0.011904776096343994,0.009095251560211182,11.5
0.75,b=0.75,0.761904776096344,11,10,1.0,0.75909525,1.0,1,0.011904776096343994,0.009095251560211182,11.5
0.75,b=0.75,0.8095238208770752,12,11,1.0,0.7765675,1.0,1,0.059523820877075195,0.026567518711090088,13.5
0.75,b=0.75,0.8095238208770752,13,11,1.0,0.7765675,1.0,1,0.059523820877075195,0.026567518711090088,13.5
0.75,b=0.75,0.8571428656578064,14,12,1.0,0.79311806,1.0,1,0.1071428656578064,0.043118059635162354,15.5
0.75,b=0.75,0.8571428656578064,15,12,1.0,0.79311806,1.0,1,0.1071428656578064,0.043118059635162354,15.5
0.75,b=0.75,0.9047619104385376,16,13,1.0,0.80874443,1.0,1,0.1547619104385376,0.05874443054199219,17.5
0.75,b=0.75,0.9047619104385376,17,13,1.0,0.80874443,1.0,1,0.1547619104385376,0.05874443054199219,17.5
0.75,b=0.75,0.9523809552192688,18,14,1.0,0.822989,1.0,1,0.2023809552192688,0.07298898696899414,19.5
0.75,b=0.75,0.9523809552192688,19,14,1.0,0.822989,1.0,1,0.2023809552192688,0.07298898696899414,19.5
0.25,b=0.25,0.0476190485060215,0,0,0.0,0.17621428,0.0,2,-0.2023809514939785,-0.07378572225570679,1.5
0.25,b=0.25,0.0476190485060215,1,0,0.0,0.17621428,0.0,2,-0.2023809514939785,-0.07378572225570679,1.5
0.25,b=0.25,0.095238097012043,2,1,0.0,0.18688369,0.0,2,-0.154761902987957,-0.06311631202697754,3.5
0.25,b=0.25,0.095238097012043,3,1,0.0,0.18688369,0.0,2,-0.154761902987957,-0.06311631202697754,3.5
0.25,b=0.25,0.1428571492433548,4,2,0.0,0.20106448,0.0,2,-0.1071428507566452,-0.04893551766872406,5.5
0.25,b=0.25,0.1428571492433548,5,2,0.0,0.20106448,0.0,2,-0.1071428507566452,-0.04893551766872406,5.5
0.25,b=0.25,0.190476194024086,6,3,0.0,0.21603534,0.0,2,-0.059523805975914,-0.03396466374397278,7.5
0.25,b=0.25,0.190476194024086,7,3,0.0,0.21603534,0.0,2,-0.059523805975914,-0.03396466374397278,7.5
0.25,b=0.25,0.2380952388048172,8,4,0.0,0.23179756,0.0,2,-0.0119047611951828,-0.018202438950538635,9.5
0.25,b=0.25,0.2380952388048172,9,4,0.0,0.23179756,0.0,2,-0.0119047611951828,-0.018202438950538635,9.5
0.25,b=0.25,0.2857142984867096,10,5,1.0,0.2483455,0.0,2,0.035714298486709595,-0.001654505729675293,11.0
0.25,b=0.25,0.3333333432674408,11,6,1.0,0.26566622,1.0,2,0.0833333432674408,0.015666216611862183,12.0
0.25,b=0.25,0.380952388048172,12,7,1.0,0.2848361,1.0,2,0.130952388048172,0.03483611345291138,13.0
0.25,b=0.25,0.4285714328289032,13,8,1.0,0.3051078,1.0,2,0.1785714328289032,0.05510780215263367,14.0
0.25,b=0.25,0.4761904776096344,14,9,1.0,0.32616434,1.0,2,0.2261904776096344,0.07616433501243591,15.0
0.25,b=0.25,0.523809552192688,15,10,1.0,0.34794635,1.0,2,0.273809552192688,0.09794634580612183,16.0
0.25,b=0.25,0.5714285969734192,16,11,1.0,0.37038347,1.0,2,0.3214285969734192,0.12038347125053406,17.0
0.25,b=0.25,0.6190476417541504,17,12,1.0,0.39339453,1.0,2,0.3690476417541504,0.14339452981948853,18.0
0.25,b=0.25,0.6666666865348816,18,13,1.0,0.41688854,1.0,2,0.4166666865348816,0.1668885350227356,19.0
0.25,b=0.25,0.7142857313156128,19,14,1.0,0.44076622,1.0,2,0.4642857313156128,0.19076621532440186,20.0
0.5,b=0.50,0.0476190485060215,0,0,0.0,0.28168565,0.0,2,-0.4523809514939785,-0.21831434965133667,1.0
