boundary,boundary_label,stim,stim_idx,unique_stim_idx,class,rep,resp,class_pred,net_idx,stim_aligned,resp_aligned
0.5,b=0.50,0.825,16,16,1.0,8,0.6565258,1.0,0,0.32499999999999996,0.15652579069137573
0.5,b=0.50,0.875,17,17,1.0,9,0.6810516,1.0,0,0.375,0.1810516119003296
0.5,b=0.50,0.875,17,17,1.0,3,0.6810516,1.0,0,0.375,0.1810516119003296
0.5,b=0.50,0.875,17,17,1.0,8,0.6810516,1.0,0,0.375,0.1810516119003296
0.5,b=0.50,0.9249999999999999,18,18,1.0,9,0.7055774,1.0,0,0.42499999999999993,0.20557737350463867
0.5,b=0.50,0.9249999999999999,18,18,1.0,3,0.7055774,1.0,0,0.42499999999999993,0.20557737350463867
0.5,b=0.50,0.9249999999999999,18,18,1.0,8,0.7055774,1.0,0,0.42499999999999993,0.20557737350463867
0.5,b=0.50,0.975,19,19,1.0,9,0.73010325,1.0,0,0.475,0.2301032543182373
0.5,b=0.50,0.975,19,19,1.0,3,0.73010325,1.0,0,0.475,0.2301032543182373
0.5,b=0.50,0.975,19,19,1.0,8,0.73010325,1.0,0,0.475,0.2301032543182373
0.25,b=0.25,0.025,1,0,0.0,0,0.083827294,0.0,1,-0.225,-0.16617270559072495
0.25,b=0.25,0.025,1,0,0.0,2,0.083827294,0.0,1,-0.225,-0.16617270559072495
0.25,b=0.25,0.025,0,0,0.0,3,0.083827294,0.0,1,-0.225,-0.16617270559072495
0.25,b=0.25,0.025,1,0,0.0,9,0.083827294,0.0,1,-0.225,-0.16617270559072495
0.25,b=0.25,0.025,0,0,0.0,0,0.083827294,0.0,1,-0.225,-0.16617270559072495
0.25,b=0.25,0.025,0,0,0.0,1,0.083827294,0.0,1,-0.225,-0.16617270559072495
0.5,b=0.50,0.025,0,0,0.0,9,0.20639932,0.0,1,-0.475,-0.2936006784439087
0.5,b=0.50,0.025,0,0,0.0,3,0.20639932,0.0,1,-0.475,-0.2936006784439087
0.5,b=0.50,0.025,0,0,0.0,8,0.20639932,0.0,1,-0.475,-0.2936006784439087
0.75,b=0.75,0.27499999999999997,0,0,0.0,9,0.47514892,0.0,1,-0.47500000000000003,-0.27485108375549316
0.75,b=0.75,0.27499999999999997,0,0,0.0,3,0.47514892,0.0,1,-0.47500000000000003,-0.27485108375549316
0.75,b=0.75,0.27499999999999997,0,0,0.0,8,0.47514892,0.0,1,-0.47500000000000003,-0.27485108375549316
0.25,b=0.25,0.075,3,1,0.0,0,0.09627793,0.0,1,-0.175,-0.15372207015752792
0.25,b=0.25,0.075,3,1,0.0,2,0.09627793,0.0,1,-0.175,-0.15372207015752792
0.25,b=0.25,0.075,2,1,0.0,3,0.09627793,0.0,1,-0.175,-0.15372207015752792
0.25,b=0.25,0.075,3,1,0.0,9,0.09627793,0.0,1,-0.175,-0.15372207015752792
0.25,b=0.25,0.075,2,1,0.0,0,0.09627793,0.0,1,-0.175,-0.15372207015752792
0.25,b=0.25,0.075,2,1,0.0,1,0.09627793,0.0,1,-0.175,-0.15372207015752792
0.5,b=0.50,0.075,1,1,0.0,9,0.22926652,0.0,1,-0.425,-0.27073347568511963
0.5,b=0.50,0.075,1,1,0.0,3,0.22926652,0.0,1,-0.425,-0.27073347568511963
0.5,b=0.50,0.075,1,1,0.0,8,0.22926652,0.0,1,-0.425,-0.27073347568511963
